,0,1,2,3,4,5,6,7
0,0.43,0.39,0.48,0.5,0.47,0.31,0.41,0.0
1,0.34,0.46,0.48,0.5,0.52,0.35,0.44,0.0
2,0.47,0.28,0.48,0.5,0.56,0.2,0.25,0.0
3,0.65,0.47,0.48,0.5,0.59,0.3,0.4,0.0
4,0.35,0.34,0.48,0.5,0.46,0.3,0.27,0.0
5,0.3,0.45,0.48,0.5,0.36,0.21,0.32,0.0
6,0.44,0.27,0.48,0.5,0.55,0.52,0.58,0.0
7,0.25,0.37,0.48,0.5,0.41,0.33,0.42,0.0
8,0.37,0.44,0.48,0.5,0.42,0.39,0.47,0.0
9,0.44,0.56,0.48,0.5,0.5,0.46,0.54,0.0
10,0.48,0.42,0.48,0.5,0.45,0.25,0.35,0.0
11,0.29,0.41,0.48,0.5,0.48,0.38,0.46,0.0
12,0.41,0.57,0.48,0.5,0.39,0.21,0.32,0.0
13,0.41,0.48,0.48,0.5,0.51,0.44,0.51,0.0
14,0.36,0.41,0.48,0.5,0.48,0.47,0.54,0.0
15,0.4,0.41,0.48,0.5,0.55,0.22,0.33,0.0
16,0.35,0.37,0.48,0.5,0.3,0.34,0.43,0.0
17,0.26,0.4,0.48,0.5,0.36,0.26,0.37,0.0
18,0.51,0.37,0.48,0.5,0.35,0.36,0.45,0.0
19,0.24,0.57,0.48,0.5,0.63,0.34,0.43,0.0
20,0.18,0.3,0.48,0.5,0.46,0.24,0.35,0.0
21,0.34,0.51,0.48,0.5,0.44,0.37,0.46,0.0
22,0.56,0.51,0.48,0.5,0.34,0.37,0.46,0.0
23,0.23,0.58,0.48,0.5,0.37,0.53,0.59,0.0
24,0.23,0.32,0.48,0.5,0.55,0.25,0.35,0.0
25,0.24,0.43,0.48,0.5,0.37,0.28,0.38,0.0
26,0.4,0.5,0.48,0.5,0.45,0.39,0.47,0.0
27,0.36,0.54,0.48,0.5,0.41,0.38,0.46,0.0
28,0.38,0.26,0.48,0.5,0.54,0.16,0.28,0.0
29,0.74,0.44,0.48,0.5,0.55,0.88,0.89,1.0
30,0.71,0.52,0.48,0.5,0.64,1.0,0.99,1.0
31,0.89,0.55,0.48,0.5,0.51,0.72,0.76,1.0
32,0.31,0.36,0.48,0.5,0.58,0.94,0.94,1.0
33,0.63,0.47,0.48,0.5,0.51,0.82,0.84,1.0
34,0.0,0.51,0.48,0.5,0.35,0.67,0.44,1.0
35,0.46,0.61,0.48,0.5,0.48,0.86,0.87,1.0
36,0.55,0.47,0.48,0.5,0.57,0.78,0.8,1.0
37,0.6,0.46,0.48,0.5,0.45,0.81,0.83,1.0
38,0.52,0.39,0.48,0.5,0.65,0.71,0.73,1.0
39,0.69,0.39,0.48,0.5,0.57,0.76,0.79,1.0
40,0.31,0.44,0.48,0.5,0.5,0.79,0.82,1.0
41,0.43,0.4,0.48,0.5,0.58,0.75,0.78,1.0
42,0.58,0.34,0.48,0.5,0.56,0.87,0.81,1.0
43,0.12,0.67,0.48,0.5,0.74,0.58,0.63,1.0
44,0.3,0.51,0.48,0.5,0.42,0.61,0.34,1.0
45,0.75,0.55,1.0,1.0,0.4,0.47,0.3,2.0
46,0.63,0.49,0.48,0.5,0.54,0.76,0.79,3.0
47,0.59,0.29,0.48,0.5,0.64,0.75,0.77,4.0
48,0.64,0.46,0.48,0.5,0.48,0.73,0.76,4.0
49,0.87,0.49,0.48,0.5,0.61,0.76,0.79,4.0
50,0.81,0.44,0.48,0.5,0.42,0.67,0.68,4.0
51,0.64,0.45,0.48,0.5,0.67,0.61,0.66,4.0
52,0.84,0.54,0.48,0.5,0.75,0.92,0.7,4.0
53,0.76,0.41,0.48,0.5,0.5,0.59,0.62,4.0
54,0.63,0.69,0.48,0.5,0.65,0.41,0.28,5.0
55,0.56,0.68,0.48,0.5,0.77,0.36,0.45,5.0
56,0.6,0.76,1.0,0.5,0.77,0.59,0.52,5.0
57,0.63,0.49,0.48,0.5,0.79,0.45,0.28,5.0
58,0.77,0.57,1.0,0.5,0.37,0.54,0.01,6.0
59,0.66,0.74,0.48,0.5,0.31,0.38,0.43,7.0
60,0.32,0.39,0.48,0.5,0.53,0.28,0.38,7.0
61,0.61,0.6,0.48,0.5,0.44,0.39,0.38,7.0
62,0.66,0.86,0.48,0.5,0.34,0.41,0.36,7.0
63,0.69,0.65,0.48,0.5,0.63,0.48,0.41,7.0
64,0.7,0.71,0.48,0.5,0.42,0.84,0.85,7.0
65,0.74,0.49,0.48,0.5,0.42,0.54,0.36,7.0
66,0.66,0.71,0.48,0.5,0.41,0.5,0.35,7.0
67,0.67,0.81,0.48,0.5,0.25,0.42,0.25,7.0
68,0.65,0.57,0.48,0.5,0.47,0.47,0.51,7.0
69,0.62,0.78,0.48,0.5,0.47,0.49,0.54,7.0
